# BLOCK:		ACTUAL_HAM:	 	AVERAG_HAM:			ERROR:
     395       -0.452954       -0.443944      0.00120528
     396       -0.489378       -0.444058      0.00120768
     397       -0.421544       -0.444002      0.00120596
     398       -0.429108       -0.443964      0.00120352
     399       -0.443206       -0.443962      0.00120051
     400       -0.464584       -0.444014      0.00119861
     401       -0.405521       -0.443918      0.00119945
     402       -0.465922       -0.443973      0.00119772
     403       -0.464924       -0.444024      0.00119588
     404       -0.463019       -0.444071      0.00119384
     405       -0.439355        -0.44406      0.00119095
     406       -0.427789        -0.44402       0.0011887
     407       -0.451441       -0.444038      0.00118592
     408       -0.383683        -0.44389      0.00119218
     409       -0.433116       -0.443864      0.00118956
     410       -0.464892       -0.443915      0.00118777
     411       -0.390073       -0.443785      0.00119207
     412       -0.476608       -0.443864      0.00119183
     413       -0.465226       -0.443916      0.00119007
     414       -0.445322       -0.443919       0.0011872
     415       -0.418605       -0.443858      0.00118591
     416       -0.474074       -0.443931      0.00118527
     417       -0.450956       -0.443947      0.00118256
     418        -0.44663       -0.443954      0.00117975
     419       -0.444591       -0.443955      0.00117694
     420       -0.455723       -0.443983      0.00117447
     421        -0.46945       -0.444044      0.00117324
     422         -0.4287       -0.444007      0.00117102
     423       -0.449679       -0.444021      0.00116833
     424       -0.455151       -0.444047      0.00116587
     425       -0.440292       -0.444038      0.00116317
     426       -0.451109       -0.444055      0.00116056
     427       -0.427871       -0.444017      0.00115846
     428       -0.426262       -0.443976       0.0011565
     429       -0.423527       -0.443928      0.00115479
     430       -0.444324       -0.443929       0.0011521
     431       -0.457631       -0.443961      0.00114987
     432       -0.442749       -0.443958      0.00114722
     433       -0.420747       -0.443904      0.00114582
     434       -0.466171       -0.443956      0.00114433
     435       -0.467043       -0.444008      0.00114293
     436       -0.369934       -0.443839      0.00115284
     437        -0.47205       -0.443903        0.001152
     438       -0.451745       -0.443921      0.00114952
     439       -0.419557       -0.443866      0.00114824
     440       -0.403879       -0.443775      0.00114921
     441       -0.467087       -0.443828      0.00114782
     442       -0.457711       -0.443859      0.00114566
     443       -0.426546        -0.44382      0.00114374
     444       -0.462274       -0.443862      0.00114192
     445       -0.442846       -0.443859      0.00113936
     446       -0.445827       -0.443864      0.00113681
     447        -0.45187       -0.443882      0.00113441
     448       -0.439938       -0.443873      0.00113192
     449       -0.388352        -0.44375      0.00113612
     450       -0.443779        -0.44375       0.0011336
     451        -0.45868       -0.443783      0.00113157
     452       -0.483231        -0.44387      0.00113242
     453       -0.454632       -0.443893      0.00113017
     454       -0.457405       -0.443923      0.00112808
     455       -0.518817       -0.444087      0.00113752
     456       -0.464572       -0.444132      0.00113591
     457       -0.446046       -0.444136      0.00113344
     458        -0.47642       -0.444207      0.00113315
     459       -0.395399       -0.444101      0.00113565
     460       -0.434904       -0.444081      0.00113336
     461       -0.448072       -0.444089      0.00113094
     462       -0.461273       -0.444126       0.0011291
     463       -0.465979       -0.444174      0.00112765
     464       -0.433504       -0.444151      0.00112546
     465       -0.459236       -0.444183      0.00112351
