# STEP: 				 T: 				 MU: 				 SIGMA: 		  ENERGY: 		 ENERGY_BEST: 		 ERROR:
     122         1.38624        0.374323        0.393607        0.407052       -0.402158        0.119328
     123         1.38208        0.616204        0.676786       -0.341548       -0.402158      0.00107647
     124         1.37794        0.257615           0.641       0.0852994       -0.402158      0.00227254
     125          1.3738       0.0166756        0.665611         0.15386       -0.402158      0.00246374
     126         1.36968        0.570972        0.586818       -0.266194       -0.402158      0.00116525
     127         1.36557        0.570972        0.586818       -0.266194       -0.402158      0.00808417
     128         1.36148        0.508052        0.253008         2.77572       -0.402158       0.0151252
     129         1.35739         1.12998        0.538227       0.0265534       -0.402158      0.00175686
     130         1.35332         1.12998        0.538227       0.0265534       -0.402158        0.035561
     131         1.34926         1.58294        0.405128         2.59205       -0.402158        0.006735
     132         1.34521         1.58294        0.405128         2.59205       -0.402158       0.0210698
     133         1.34118         1.38113         0.73608          1.8257       -0.402158       0.0106871
     134         1.33715         1.38113         0.73608          1.8257       -0.402158       0.0252891
     135         1.33314          1.4587         0.74985         2.63289       -0.402158       0.0138991
     136         1.32914         1.08235         0.60737       -0.101903       -0.402158      0.00248644
     137         1.32516        0.650683        0.916127       -0.223993       -0.402158      0.00355435
     138         1.32118         1.08303        0.740337        0.119853       -0.402158      0.00550549
     139         1.31722        0.882618        0.955516        0.175788       -0.402158      0.00813451
     140         1.31326        0.882618        0.955516        0.175788       -0.402158       0.0114912
     141         1.30932        0.820527           1.282         1.33264       -0.402158       0.0216951
     142          1.3054        0.402122         1.50744         1.47172       -0.402158       0.0244762
     143         1.30148        0.402122         1.50744         1.47172       -0.402158        0.050894
     144         1.29758         0.77018         1.39257         1.83826       -0.402158       0.0305366
     145         1.29368         0.77018         1.39257         1.83826       -0.402158       0.0429808
     146          1.2898         0.77018         1.39257         1.83826       -0.402158       0.0402812
     147         1.28593         0.77018         1.39257         1.83826       -0.402158       0.0869874
     148         1.28207         0.77018         1.39257         1.83826       -0.402158       0.0410777
     149         1.27823        0.222589          1.5897         1.85296       -0.402158       0.0285308
     150         1.27439         0.35421         1.55519         1.73516       -0.402158       0.0280225
     151         1.27057         0.35421         1.55519         1.73516       -0.402158        0.085556
     152         1.26676        0.213576         1.43964        0.816916       -0.402158       0.0183054
     153         1.26296        0.374736         1.26219        0.233581       -0.402158        0.010172
     154         1.25917        0.187598         1.47897         1.07474       -0.402158       0.0216513
     155         1.25539        0.679074         1.34883         1.19241       -0.402158        0.021558
     156         1.25163        0.623304         1.07626       0.0296322       -0.402158      0.00772959
     157         1.24787        0.576917        0.814115       -0.299956       -0.402158      0.00204404
     158         1.24413        0.321776         1.10447        -0.14962       -0.402158       0.0049794
     159          1.2404        0.496222        0.932655       -0.252675       -0.402158       0.0030045
     160         1.23667        0.866638        0.656454       -0.411459       -0.402158      0.00146394
     161         1.23296        0.866638        0.656454       -0.411459       -0.411459       0.0105085
     162         1.22927        0.866638        0.656454       -0.411459       -0.411459       0.0147844
     163         1.22558        0.866638        0.656454       -0.411459       -0.411459      0.00570662
     164          1.2219        0.954481        0.639465        -0.33688       -0.411459      0.00187474
     165         1.21824         1.13343        0.588221       0.0304893       -0.411459       0.0026458
     166         1.21458         0.78425        0.732502       -0.374885       -0.411459      0.00192397
     167         1.21094         0.78425        0.732502       -0.374885       -0.411459      0.00164584
     168          1.2073         1.20919        0.536415        0.264923       -0.411459      0.00258603
     169         1.20368        0.918523        0.739469       -0.264991       -0.411459      0.00322402
     170         1.20007        0.525856        0.689417       -0.259335       -0.411459      0.00131389
     171         1.19647         1.08614         0.63517      -0.0708248       -0.411459      0.00305918
     172         1.19288        0.885355        0.647137       -0.403575       -0.411459      0.00150276
     173          1.1893        0.769494        0.514284       -0.340449       -0.411459      0.00176464
     174         1.18573        0.769494        0.514284       -0.340449       -0.411459      0.00299596
     175         1.18218        0.769494        0.514284       -0.340449       -0.411459      0.00153331
     176         1.17863        0.436289        0.470917       0.0957546       -0.411459      0.00212628
     177          1.1751        0.436289        0.470917       0.0957546       -0.411459       0.0443904
     178         1.17157        0.963259        0.576015       -0.327422       -0.411459      0.00121888
     179         1.16806        0.963259        0.576015       -0.327422       -0.411459      0.00596412
     180         1.16455         1.26857        0.802765         1.30172       -0.411459           0.011
     181         1.16106        0.691379        0.826606       -0.300503       -0.411459      0.00266331
     182         1.15757         1.16766        0.637654        0.192654       -0.411459      0.00420997
     183          1.1541         1.16766        0.637654        0.192654       -0.411459      0.00828871
     184         1.15064        0.668225        0.906395       -0.223088       -0.411459      0.00367912
     185         1.14719        0.668225        0.906395       -0.223088       -0.411459      0.00684975
     186         1.14375        0.276734        0.640867       0.0701315       -0.411459       0.0023173
     187         1.14031       0.0244094        0.877951       -0.193416       -0.411459      0.00169505
     188         1.13689        0.256491         1.04166       -0.226828       -0.411459       0.0033387
     189         1.13348        0.274856         1.06086       -0.205658       -0.411459      0.00394986
     190         1.13008        0.251513         1.22995       0.0589627       -0.411459      0.00862812
     191         1.12669        0.311025         1.19873       0.0276216       -0.411459      0.00766215
     192         1.12331        0.330559         1.08997       -0.165857       -0.411459      0.00459942
     193         1.11994        0.144025        0.981344       -0.250111       -0.411459      0.00217143
     194         1.11658        0.159184         1.02097       -0.244793       -0.411459      0.00266454
     195         1.11323       0.0665404         1.19413      -0.0798674       -0.411459      0.00628008
     196         1.10989       0.0665404         1.19413      -0.0798674       -0.411459       0.0125524
     197         1.10656         0.39592        0.943581       -0.257975       -0.411459      0.00235785
     198         1.10324      0.00021253         1.11644       -0.190278       -0.411459      0.00460517
     199         1.09993        0.397896         1.11701       -0.103022       -0.411459      0.00567154
     200         1.09663        0.397896         1.11701       -0.103022       -0.411459       0.0133573
     201         1.09334        0.780507        0.961342      -0.0201479       -0.411459      0.00591292
     202         1.09006        0.780507        0.961342      -0.0201479       -0.411459       0.0372151
     203         1.08679        0.928233        0.834304      -0.0470972       -0.411459      0.00571961
     204         1.08353        0.465194        0.638185       -0.158345       -0.411459      0.00169652
     205         1.08028        0.593164        0.796727       -0.312316       -0.411459      0.00179651
     206         1.07704        0.593164        0.796727       -0.312316       -0.411459       0.0102743
     207         1.07381        0.593164        0.796727       -0.312316       -0.411459      0.00790558
     208         1.07059        0.316297        0.895059       -0.246192       -0.411459      0.00193558
     209         1.06738        0.847769        0.640539       -0.428727       -0.411459      0.00119292
     210         1.06418         1.16615        0.819479        0.751225       -0.428727      0.00911505
     211         1.06098         1.03772        0.923419        0.571608       -0.428727       0.0102319
