# DISTANCE:		AVE_GOFR:	 ERROR:
         614    0.989546  0.00069768
         615    0.988057 0.000719626
         616    0.989174 0.000761375
         617     0.98895 0.000692343
         618    0.990489 0.000790819
         619    0.989314 0.000679245
         620    0.989729 0.000751363
         621     0.98884 0.000742643
         622    0.988861 0.000770575
         623    0.988168  0.00072013
         624     0.98807 0.000771469
         625    0.989202 0.000811707
         626    0.989143 0.000804727
         627     0.98877 0.000773389
         628    0.989985 0.000753447
         629      0.9884 0.000726194
         630    0.989776 0.000680429
         631    0.989448 0.000699834
         632    0.989384 0.000620128
         633    0.988569 0.000810093
         634    0.988503 0.000792758
         635    0.989006 0.000746238
         636    0.988024 0.000763911
         637    0.988248 0.000669098
         638    0.989201 0.000710693
         639    0.989294 0.000702141
         640    0.988923 0.000668378
         641    0.988995 0.000785513
         642    0.988357 0.000693744
         643    0.989405 0.000658451
         644    0.988107 0.000546988
         645    0.988416  0.00078243
         646      0.9888 0.000774547
         647    0.988612 0.000708136
         648     0.98822 0.000730335
         649    0.988819 0.000779299
         650    0.988544 0.000685234
         651     0.98787 0.000630374
         652    0.987834 0.000722491
         653    0.987942 0.000743618
         654    0.988267 0.000714602
         655    0.988783 0.000662692
         656    0.988347 0.000643359
         657    0.988883  0.00072034
         658    0.988548  0.00066269
         659    0.988992 0.000689615
         660    0.988812 0.000804821
         661     0.98817 0.000627365
         662    0.988403 0.000679665
         663    0.988057 0.000727166
         664    0.988232 0.000648658
         665    0.987357 0.000673073
         666      0.9884 0.000697302
         667     0.98881 0.000634363
         668    0.987681 0.000665897
         669    0.988533 0.000709929
         670    0.987766 0.000615644
         671    0.989204 0.000638696
         672    0.986902 0.000648072
         673    0.987583 0.000694551
         674    0.988133 0.000664113
         675    0.987903 0.000675047
         676    0.988424 0.000677112
         677    0.989151  0.00067091
         678    0.987323 0.000636598
         679    0.989053 0.000658646
         680    0.988869 0.000715864
         681     0.98701 0.000631806
         682    0.988092 0.000624652
         683     0.98805 0.000612248
         684    0.987821 0.000612709
         685    0.987954  0.00060701
         686    0.987935 0.000633158
         687    0.987145 0.000582167
         688    0.986966 0.000637046
         689    0.986708 0.000676366
         690    0.988198 0.000644525
         691    0.987126 0.000703189
         692    0.988379 0.000593408
         693    0.987503 0.000587459
         694    0.988215 0.000677157
         695    0.987839 0.000662493
         696    0.987457 0.000681423
         697    0.986175 0.000629172
         698    0.988661 0.000602223
         699    0.986709  0.00066639
         700    0.986951 0.000681168
         701    0.987769 0.000605766
         702    0.987022 0.000608501
         703    0.988756 0.000660694
         704    0.987168 0.000604619
         705     0.98632 0.000615137
         706    0.987058 0.000594879
         707    0.987743 0.000611448
         708     0.98687 0.000672274
         709    0.987637 0.000610482
         710    0.988246 0.000549707
         711    0.986873 0.000676566
         712    0.987335 0.000648623
         713    0.986334 0.000619188
         714    0.986705 0.000631717
         715    0.986621 0.000577184
         716    0.987914  0.00061053
         717    0.986938 0.000686339
         718    0.986935  0.00061828
         719    0.987538 0.000640857
         720    0.987846 0.000604351
