# DISTANCE:		AVE_GOFR:	 ERROR:
         370      1.0301  0.00665726
         371     1.02561   0.0065619
         372     1.02549   0.0067645
         373     1.01944  0.00716868
         374     1.01402  0.00675757
         375     1.01742  0.00719048
         376     1.01933  0.00678539
         377     1.01852   0.0069636
         378     1.01659  0.00711574
         379     1.02434  0.00726228
         380     1.02028  0.00709773
         381     1.01995   0.0066489
         382     1.02465  0.00649516
         383     1.02686  0.00662413
         384     1.02412  0.00654051
         385     1.02191  0.00578294
         386     1.02336   0.0063275
         387     1.01981  0.00656877
         388     1.01787  0.00616285
         389     1.01484  0.00582991
         390       1.018   0.0056348
         391     1.01871  0.00587064
         392     1.01784  0.00574156
         393     1.01549  0.00608601
         394     1.01253  0.00608236
         395     1.01555  0.00621931
         396     1.01369  0.00599191
         397     1.01361  0.00617398
         398     1.01525  0.00580927
         399     1.01344  0.00559732
         400     1.01856   0.0055104
         401     1.01895  0.00565493
         402     1.01751  0.00587424
         403     1.02115  0.00614399
         404     1.01911  0.00664769
         405     1.01714  0.00603754
         406     1.01455   0.0061938
         407     1.01601  0.00579344
         408     1.01195  0.00577494
         409     1.01367  0.00607932
         410      1.0101  0.00586498
         411     1.00538  0.00512467
         412     1.01098  0.00574334
         413     1.01197  0.00569887
         414     1.00911  0.00558819
         415     1.00677  0.00567284
         416     1.00037  0.00556664
         417     1.00065  0.00596982
         418      1.0051  0.00565777
         419      1.0011  0.00524029
         420    0.995733  0.00593286
         421     1.00005  0.00582209
         422     1.00355  0.00597268
         423      1.0028  0.00573241
         424     1.00191  0.00567487
         425    0.999315  0.00577965
         426     0.99934  0.00627556
         427    0.995523  0.00605567
         428    0.992618  0.00593709
         429     1.00298     0.00592
         430     1.00453  0.00594182
         431     1.00161  0.00615281
         432     1.00395  0.00606318
         433     1.00396  0.00580478
         434     1.00026   0.0056589
         435    0.999112  0.00550137
         436      1.0017  0.00556572
         437     1.00351   0.0058558
         438    0.999715   0.0056359
         439    0.996988  0.00569819
         440     1.00125  0.00540808
         441    0.998519   0.0051991
         442     1.00028  0.00484171
         443    0.999735  0.00478523
         444    0.997558  0.00512967
         445    0.997594  0.00573181
         446    0.997988  0.00543905
         447     1.00306  0.00537457
         448    0.999349  0.00495483
         449    0.994904  0.00516731
         450    0.996557  0.00527435
         451     1.00266  0.00527976
         452      1.0046  0.00528673
         453     1.00448  0.00508666
         454     1.00076  0.00506368
         455     1.00334  0.00524796
         456     1.00067  0.00526007
         457    0.998841  0.00519188
         458     1.00064  0.00516115
