#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
         238     1.15936     1.18627  0.00219455
         239     1.17473     1.18622   0.0021859
         240     1.21012     1.18632  0.00217906
         241     1.17572     1.18627  0.00217046
         242     1.18188     1.18626  0.00216157
         243     1.17568     1.18621  0.00215311
         244     1.17191     1.18615  0.00214508
         245     1.18827     1.18616  0.00213634
         246     1.20648     1.18625  0.00212926
         247      1.1969     1.18629  0.00212107
         248     1.17992     1.18626  0.00211268
         249     1.18076     1.18624  0.00210431
         250     1.18279     1.18623  0.00209593
         251     1.17598     1.18619  0.00208798
         252     1.16317     1.18609  0.00208169
         253     1.16493     1.18601  0.00207514
         254     1.18241       1.186  0.00206702
         255     1.16512     1.18591  0.00206054
         256     1.17732     1.18588  0.00205276
         257     1.20889     1.18597  0.00204673
         258     1.21566     1.18609  0.00204202
         259     1.19692     1.18613  0.00203457
         260     1.18526     1.18612  0.00202675
         261     1.19392     1.18615   0.0020192
         262      1.1741     1.18611  0.00201202
         263     1.16572     1.18603  0.00200586
         264     1.19011     1.18605  0.00199832
         265     1.19467     1.18608  0.00199105
         266     1.17596     1.18604  0.00198392
         267     1.16409     1.18596   0.0019782
         268     1.14149     1.18579  0.00197776
         269     1.18748      1.1858  0.00197042
         270     1.18294     1.18579  0.00196315
         271     1.17549     1.18575  0.00195627
         272     1.20135     1.18581  0.00194992
         273     1.23555     1.18599  0.00195128
         274     1.23718     1.18618  0.00195308
         275     1.23088     1.18634  0.00195273
         276     1.20463     1.18641  0.00194678
         277     1.18388      1.1864  0.00193977
         278     1.19196     1.18642   0.0019329
         279     1.19961     1.18646  0.00192655
         280     1.21192     1.18655  0.00192181
         281     1.20987     1.18664  0.00191676
         282     1.21221     1.18673  0.00191211
         283     1.19311     1.18675  0.00190549
         284     1.18663     1.18675  0.00189878
         285     1.17414     1.18671  0.00189263
         286     1.17697     1.18667  0.00188632
         287     1.18176     1.18665  0.00187982
         288      1.1656     1.18658  0.00187472
         289     1.16799     1.18652  0.00186933
         290     1.15661     1.18641  0.00186573
         291      1.1715     1.18636  0.00186002
         292     1.17878     1.18634  0.00185383
         293     1.16264     1.18626  0.00184927
         294     1.17587     1.18622  0.00184332
         295     1.15472     1.18611  0.00184016
         296     1.15233       1.186  0.00183748
         297     1.16414     1.18593  0.00183277
         298     1.16079     1.18584  0.00182856
         299     1.12416     1.18564  0.00183404
         300     1.15899     1.18555  0.00183008
         301     1.16472     1.18548   0.0018253
         302     1.13896     1.18532  0.00182575
         303     1.13247     1.18515  0.00182803
         304     1.13756     1.18499  0.00182871
         305      1.1558      1.1849  0.00182522
         306     1.16472     1.18483  0.00182045
         307     1.14574      1.1847  0.00181896
         308     1.16626     1.18464  0.00181404
         309       1.194     1.18467  0.00180842
         310     1.17917     1.18466  0.00180268
         311     1.17749     1.18463  0.00179703
         312     1.18277     1.18463  0.00179128
         313     1.17636      1.1846  0.00178575
         314     1.17579     1.18457  0.00178028
         315     1.18792     1.18458  0.00177466
         316     1.16265     1.18451   0.0017704
         317     1.18656     1.18452  0.00176483
         318     1.16961     1.18447   0.0017599
         319     1.14753     1.18436  0.00175819
         320     1.15595     1.18427  0.00175494
         321      1.1556     1.18418  0.00175174
         322     1.17014     1.18414  0.00174684
         323     1.17578     1.18411  0.00174163
         324     1.19493     1.18414  0.00173657
         325     1.21327     1.18423  0.00173354
         326     1.23081     1.18438   0.0017341
         327     1.23334     1.18453  0.00173525
         328     1.23302     1.18467  0.00173624
         329     1.19721     1.18471  0.00173138
         330     1.21892     1.18482  0.00172924
         331     1.23267     1.18496  0.00173005
         332     1.26019     1.18519  0.00173961
         333     1.25727      1.1854   0.0017478
         334     1.25183      1.1856  0.00175385
         335     1.22875     1.18573  0.00175334
         336     1.19154     1.18575   0.0017482
         337     1.17374     1.18571  0.00174338
         338     1.19696     1.18575  0.00173854
         339     1.20383      1.1858  0.00173423
         340     1.19017     1.18581  0.00172917
         341     1.20588     1.18587   0.0017251
         342     1.17585     1.18584  0.00172031
         343     1.16854     1.18579  0.00171603
         344     1.19387     1.18581  0.00171121
         345     1.18955     1.18583  0.00170628
         346     1.19583     1.18585  0.00170159
         347     1.18413     1.18585   0.0016967
         348     1.20526     1.18591  0.00169274
         349      1.2039     1.18596  0.00168867
         350     1.20104       1.186   0.0016844
         351     1.20524     1.18605  0.00168049
         352     1.17128     1.18601  0.00167624
         353     1.19387     1.18603  0.00167164
         354     1.17168     1.18599  0.00166741
         355     1.16172     1.18593  0.00166411
         356     1.14554     1.18581   0.0016633
         357     1.17598     1.18579  0.00165887
         358     1.18349     1.18578  0.00165425
         359      1.1913     1.18579  0.00164971
         360     1.15848     1.18572  0.00164687
         361     1.17577     1.18569  0.00164254
         362     1.17502     1.18566  0.00163827
         363     1.13825     1.18553  0.00163895
         364      1.1526     1.18544  0.00163695
         365      1.1618     1.18538  0.00163374
         366     1.16177     1.18531  0.00163055
         367     1.16554     1.18526    0.001627
         368     1.17234     1.18522  0.00162295
         369      1.1902     1.18524  0.00161861
         370     1.16082     1.18517  0.00161558
         371     1.19192     1.18519  0.00161133
         372     1.21529     1.18527  0.00160903
         373      1.1884     1.18528  0.00160474
         374     1.21738     1.18536  0.00160274
         375     1.18484     1.18536  0.00159847
         376     1.18704     1.18537  0.00159422
         377     1.18035     1.18535  0.00159005
         378     1.18796     1.18536  0.00158586
         379     1.20011      1.1854  0.00158215
         380     1.22497      1.1855  0.00158141
         381     1.19471     1.18553  0.00157745
         382     1.18353     1.18552  0.00157333
         383     1.19586     1.18555  0.00156945
         384     1.19475     1.18557  0.00156554
         385     1.18611     1.18557  0.00156148
         386     1.17161     1.18554  0.00155785
         387     1.19128     1.18555   0.0015539
         388     1.18279     1.18555  0.00154991
         389     1.19514     1.18557  0.00154612
         390     1.18458     1.18557  0.00154216
         391     1.17046     1.18553   0.0015387
         392     1.16374     1.18547  0.00153578
         393     1.16522     1.18542  0.00153273
         394     1.17183     1.18539  0.00152923
         395     1.18273     1.18538  0.00152537
         396     1.16635     1.18533  0.00152228
         397     1.18268     1.18533  0.00151846
         398     1.17144     1.18529  0.00151505
         399     1.16001     1.18523  0.00151257
         400     1.15073     1.18514  0.00151125
         401     1.14233     1.18503  0.00151125
         402     1.14314     1.18493  0.00151108
         403     1.17127      1.1849  0.00150771
         404     1.16586     1.18485  0.00150471
         405     1.14047     1.18474  0.00150498
         406     1.16195     1.18468  0.00150232
         407     1.15209      1.1846  0.00150076
         408      1.1412      1.1845  0.00150085
         409     1.15721     1.18443  0.00149866
         410     1.20473     1.18448  0.00149582
         411     1.17432     1.18445  0.00149239
         412     1.15617     1.18439  0.00149034
         413     1.13103     1.18426  0.00149232
         414     1.14032     1.18415  0.00149249
         415     1.11706     1.18399  0.00149762
         416     1.13544     1.18387  0.00149856
         417     1.13047     1.18374  0.00150043
         418     1.13057     1.18362  0.00150222
         419     1.17813      1.1836  0.00149869
         420     1.18573     1.18361  0.00149513
         421     1.17787      1.1836  0.00149164
         422     1.20278     1.18364   0.0014888
         423      1.1772     1.18363  0.00148536
         424      1.1526     1.18355  0.00148366
         425     1.20357      1.1836  0.00148091
         426     1.20622     1.18365  0.00147839
         427     1.18335     1.18365  0.00147493
         428     1.14802     1.18357  0.00147383
         429     1.11349     1.18341  0.00147942
         430     1.17344     1.18338  0.00147616
         431     1.17216     1.18336  0.00147296
         432     1.18716     1.18337  0.00146958
         433     1.19851      1.1834   0.0014666
         434     1.18688     1.18341  0.00146325
         435     1.20392     1.18346  0.00146064
         436     1.18498     1.18346   0.0014573
         437     1.23575     1.18358  0.00145886
         438     1.22361     1.18367  0.00145839
         439     1.21379     1.18374  0.00145669
         440     1.21866     1.18382  0.00145554
         441     1.21525     1.18389  0.00145398
         442     1.20694     1.18394  0.00145162
         443      1.2185     1.18402  0.00145044
         444     1.22876     1.18412  0.00145067
         445     1.20302     1.18416  0.00144803
         446      1.1803     1.18415  0.00144481
         447      1.1948     1.18418  0.00144178
         448     1.20232     1.18422  0.00143913
         449     1.19695     1.18425   0.0014362
         450     1.18565     1.18425  0.00143301
         451     1.18458     1.18425  0.00142984
         452      1.1727     1.18422   0.0014269
         453     1.17727     1.18421  0.00142383
         454     1.19167     1.18423  0.00142079
         455     1.19675     1.18425  0.00141794
         456     1.20298     1.18429  0.00141542
         457     1.18321     1.18429  0.00141233
         458     1.16569     1.18425  0.00140983
         459     1.16091      1.1842  0.00140767
         460     1.18074     1.18419  0.00140463
         461     1.15872     1.18414  0.00140267
         462      1.1685      1.1841  0.00140004
