# DISTANCE:		AVE_GOFR:	 ERROR:
         432      1.0051  0.00108225
         433      1.0102  0.00108289
         434     1.00733  0.00108156
         435     1.01075  0.00107987
         436     1.00566  0.00107242
         437     1.00776  0.00107214
         438     1.00779  0.00107259
         439     1.00764  0.00106729
         440      1.0058  0.00106169
         441     1.00614  0.00106137
         442     1.00577  0.00105779
         443       1.006   0.0010566
         444     1.00496  0.00105342
         445     1.00518  0.00105172
         446     1.00619  0.00105018
         447     1.00323  0.00104381
         448     1.00672  0.00104477
         449     1.00548   0.0010433
         450     1.00453  0.00103993
         451     1.00549  0.00103735
         452     1.00537  0.00103448
         453     1.00319  0.00103022
         454     1.00351  0.00102922
         455     1.00285  0.00102666
         456     1.00365  0.00102466
         457     1.00468  0.00102349
         458     1.00594  0.00102166
         459     1.00221  0.00101874
         460     1.00313  0.00101698
         461     1.00295  0.00101693
         462    0.999708  0.00101053
         463      1.0018  0.00101097
         464      1.0013  0.00100447
         465     1.00205    0.001005
         466    0.999415  0.00100239
         467     1.00149 0.000998739
         468     1.00181 0.000997048
         469     0.99971 0.000994203
         470     1.00193 0.000994014
         471     1.00221 0.000997674
         472     1.00024 0.000989508
         473    0.998582 0.000987653
         474     1.00174 0.000987361
         475     1.00066  0.00098428
         476     1.00127 0.000981775
         477    0.998554 0.000978101
         478    0.999006 0.000975363
         479    0.999278 0.000974801
         480     1.00046 0.000971783
         481     1.00084 0.000971779
         482    0.998858 0.000967284
         483     1.00128 0.000968062
         484    0.997081 0.000961027
         485     1.00023  0.00096099
         486    0.996656 0.000959264
         487     0.99913 0.000960294
         488    0.999398 0.000956793
         489     0.99672 0.000953364
         490    0.996481 0.000949629
         491     0.99759 0.000947458
         492    0.994715 0.000945976
         493    0.998696 0.000947978
         494    0.997244 0.000942862
         495    0.995181 0.000941214
         496    0.997855 0.000941779
         497    0.995201 0.000936917
         498    0.996043 0.000936108
         499    0.995986 0.000934204
         500    0.998281  0.00093337
         501     0.99783 0.000932413
         502    0.996326 0.000928817
         503    0.997742 0.000929279
         504    0.998148 0.000924957
         505    0.998019 0.000924714
         506    0.995387 0.000918519
         507    0.998496 0.000920608
         508    0.993882 0.000917325
         509    0.996049 0.000913807
         510    0.997496 0.000913861
         511    0.995185 0.000912076
         512    0.997116 0.000909023
         513    0.996317  0.00090975
         514    0.996925 0.000906124
         515    0.997242  0.00090466
         516    0.994857 0.000903342
         517    0.994967 0.000900359
         518    0.994173 0.000899491
         519    0.994602 0.000897043
         520    0.994682 0.000894523
         521    0.995487 0.000892147
         522    0.994185 0.000891191
         523    0.993332 0.000892327
         524    0.997232 0.000891738
         525    0.995139 0.000887932
         526    0.994362 0.000884947
         527    0.996182 0.000884568
         528    0.993396 0.000879783
         529    0.995051   0.0008816
         530     0.99212 0.000878387
         531    0.994239 0.000876336
         532    0.993476 0.000876261
         533    0.996391 0.000874274
         534    0.995467 0.000872075
         535    0.993547  0.00087227
         536     0.99319 0.000866721
         537    0.995774 0.000867896
         538    0.995757 0.000865993
         539    0.993585  0.00086528
         540    0.993797 0.000861441
         541    0.994201 0.000861152
         542    0.994217 0.000858939
         543    0.995522 0.000855915
         544    0.992725 0.000854978
         545    0.993009 0.000854485
         546    0.992101 0.000851628
         547    0.991358 0.000850112
         548    0.993232 0.000849883
         549    0.991183 0.000846252
         550    0.992104  0.00084668
         551    0.993712 0.000845127
         552    0.993781 0.000842757
         553    0.992808 0.000839332
         554    0.993957 0.000839433
         555    0.990645 0.000835926
         556    0.994051  0.00083862
         557    0.992085 0.000836116
         558     0.99166 0.000832804
         559    0.990587 0.000831091
         560    0.992104 0.000830276
         561    0.993933 0.000828353
         562    0.992179 0.000827495
         563     0.99147 0.000826271
         564    0.992643  0.00082503
         565    0.993365 0.000823915
         566    0.992764 0.000820917
         567     0.99142 0.000820785
         568    0.989085 0.000817941
         569    0.990554  0.00081931
         570    0.990142 0.000815731
         571    0.989545 0.000812671
         572    0.992129 0.000812836
         573    0.991267 0.000811913
         574    0.990675 0.000808583
         575       0.991 0.000808629
         576    0.992451 0.000808394
         577    0.990182 0.000804413
         578    0.992545 0.000805914
         579     0.98953 0.000800707
         580    0.992251 0.000801328
         581    0.991439 0.000801039
         582    0.991006 0.000798617
         583    0.992433 0.000799672
         584    0.991729 0.000796257
         585    0.992111 0.000793681
         586    0.989946 0.000791983
         587    0.990623 0.000790642
         588    0.991487  0.00079158
         589    0.992408 0.000788646
         590    0.992256 0.000790413
         591    0.991426 0.000786325
         592    0.990159 0.000784495
